seed,turn,stage,candidates,action_index,action_desc,elapsed_us,score_breakdown
1001,0,Train,7,4,智训练,94,#0 117[速训练 失败率0% 属性+27 PT+7] | #1 57[耐训练 失败率0% 属性+15 PT+7] | #2 54[力训练 失败率0% 属性+16 PT+7] | #3 56[根训练 失败率0% 属性+17 PT+7] | #4 617[智训练 失败率0% 属性+41 PT+24] | #5 -154[休息] | #6 -185[普通外出]
1001,1,Train,7,2,力训练,30,#0 218[速训练 失败率0% 属性+33 PT+13] | #1 57[耐训练 失败率0% 属性+16 PT+7] | #2 275[力训练 失败率0% 属性+29 PT+14] | #3 140[根训练 失败率0% 属性+22 PT+9] | #4 248[智训练 失败率0% 属性+24 PT+11] | #5 -154[休息] | #6 -185[普通外出]
1001,2,RegionSelect,10,4,"地区[札幌-速,新潟-力,东京-智]",20,"#0 580[[0, 1, 2]] | #1 -30[[0, 1, 3]] | #2 880[[0, 1, 4]] | #3 580[[0, 2, 3]] | #4 1489[[0, 2, 4]] | #5 880[[0, 3, 4]] | #6 580[[1, 2, 3]] | #7 1489[[1, 2, 4]] | #8 880[[1, 3, 4]] | #9 1489[[2, 3, 4]]"
1001,2,RamenSelect,4,3,吃面/东京-智,79,#0 0[不吃面] | #1 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内] | #2 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内] | #3 1611[吃面/东京-智]
1001,2,SpecialSelect,4,0,吃面/东京-智(替换Cx1),15,"#0 13[隐藏方案[0, 0, 1] 后续可做0种] | #1 7[隐藏方案[0, 0, 2] 后续可做0种] | #2 7[隐藏方案[0, 1, 1] 后续可做0种] | #3 7[隐藏方案[1, 0, 1] 后续可做0种]"
1001,2,Train,7,4,智训练,36,#0 171[速训练 失败率0% 属性+34 PT+10] | #1 159[耐训练 失败率0% 属性+22 PT+10] | #2 222[力训练 失败率0% 属性+25 PT+14] | #3 256[根训练 失败率0% 属性+27 PT+16] | #4 573[智训练 失败率0% 属性+38 PT+20] | #5 -154[休息] | #6 -185[普通外出]
1001,3,Event,2,1,事件#830305103 友人解锁:  智5 5pt 体力25 羁绊+5 干劲1 +休息心得(1回合) /  速5 智5 5pt 羁绊+5 干劲1 Hint+5 +休息心得(1回合),4,
1001,3,RamenSelect,1,0,不吃面,1,仅1候选: 不吃面
1001,3,Train,8,4,智训练,41,#0 85[速训练 失败率0% 属性+29 PT+8] | #1 176[耐训练 失败率0% 属性+26 PT+12] | #2 451[力训练 失败率0% 属性+36 PT+22] | #3 71[根训练 失败率0% 属性+18 PT+8] | #4 452[智训练 失败率0% 属性+52 PT+19] | #5 -154[休息] | #6 -185[普通外出] | #7 1952[友人外出#1 选项1 动态事件148 材料+2(库存1也不禁用) 饥饿+1521 未来+0 主动+213]
1001,4,RamenSelect,3,0,不吃面,59,#0 0[不吃面] | #1 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内] | #2 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内]
1001,4,Train,8,1,耐训练,26,#0 195[速训练 失败率0% 属性+43 PT+11] | #1 502[耐训练 失败率0% 属性+49 PT+25] | #2 76[力训练 失败率0% 属性+24 PT+8] | #3 88[根训练 失败率0% 属性+20 PT+9] | #4 302[智训练 失败率0% 属性+30 PT+14] | #5 -154[休息] | #6 -185[普通外出] | #7 1931[友人外出#1 选项1 动态事件127 材料+2(库存1也不禁用) 饥饿+1521 未来+0 主动+213]
1001,5,Event,2,1,事件#5004 马娘事件4:  根20  /  智20 ,3,
1001,5,RamenSelect,3,2,吃面/新潟-力,60,#0 0[不吃面] | #1 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内] | #2 1679[吃面/新潟-力]
1001,5,SpecialSelect,4,0,吃面/新潟-力,11,"#0 16[隐藏方案[0, 0, 0] 后续可做0种] | #1 10[隐藏方案[0, 0, 1] 后续可做0种] | #2 10[隐藏方案[0, 1, 0] 后续可做0种] | #3 10[隐藏方案[1, 0, 0] 后续可做0种]"
1001,5,Train,8,2,力训练,41,#0 103[速训练 失败率0% 属性+32 PT+9] | #1 202[耐训练 失败率0% 属性+35 PT+15] | #2 609[力训练 失败率0% 属性+66 PT+27] | #3 92[根训练 失败率0% 属性+24 PT+9] | #4 340[智训练 失败率0% 属性+36 PT+16] | #5 -154[休息] | #6 -185[普通外出] | #7 1953[友人外出#1 选项1 动态事件149 材料+2(库存1也不禁用) 饥饿+1521 未来+0 主动+213]
1001,6,RamenSelect,1,0,不吃面,0,仅1候选: 不吃面
1001,6,Train,8,4,智训练,30,#0 86[速训练 失败率0% 属性+31 PT+8] | #1 82[耐训练 失败率0% 属性+27 PT+8] | #2 430[力训练 失败率0% 属性+49 PT+23] | #3 179[根训练 失败率0% 属性+30 PT+12] | #4 432[智训练 失败率0% 属性+48 PT+18] | #5 -154[休息] | #6 -185[普通外出] | #7 1970[友人外出#1 选项1 动态事件166 材料+2(库存1也不禁用) 饥饿+1521 未来+0 主动+213]
1001,7,Event,2,0,事件#5002 马娘事件2:  耐20  /  力20 ,3,
1001,7,RamenSelect,2,1,吃面/东京-智,50,#0 0[不吃面] | #1 1769[吃面/东京-智]
1001,7,SpecialSelect,1,0,吃面/东京-智(替换Cx1),2,仅1候选: 吃面/东京-智(替换Cx1)
