seed,turn,stage,candidates,action_index,action_desc,elapsed_us,score_breakdown
1001,0,Train,7,4,智训练,102,#0 133[速训练 失败率0% 属性+27 PT+8] | #1 58[耐训练 失败率0% 属性+16 PT+7] | #2 54[力训练 失败率0% 属性+16 PT+7] | #3 157[根训练 失败率0% 属性+23 PT+10] | #4 523[智训练 失败率0% 属性+27 PT+22] | #5 -154[休息] | #6 -185[普通外出]
1001,1,Train,7,0,速训练,29,#0 370[速训练 失败率0% 属性+41 PT+19] | #1 58[耐训练 失败率0% 属性+17 PT+7] | #2 157[力训练 失败率0% 属性+23 PT+10] | #3 342[根训练 失败率0% 属性+32 PT+18] | #4 125[智训练 失败率0% 属性+13 PT+7] | #5 -154[休息] | #6 -185[普通外出]
1001,2,RegionSelect,10,2,"地区[札幌-速,函馆-耐,东京-智]",19,"#0 925[[0, 1, 2]] | #1 925[[0, 1, 3]] | #2 1534[[0, 1, 4]] | #3 580[[0, 2, 3]] | #4 1189[[0, 2, 4]] | #5 1189[[0, 3, 4]] | #6 315[[1, 2, 3]] | #7 925[[1, 2, 4]] | #8 925[[1, 3, 4]] | #9 580[[2, 3, 4]]"
1001,2,RamenSelect,4,1,吃面/札幌-速,83,#0 0[不吃面] | #1 1613[吃面/札幌-速] | #2 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内] | #3 1611[吃面/东京-智]
1001,2,SpecialSelect,9,0,吃面/札幌-速,28,"#0 18[隐藏方案[0, 0, 0] 后续可做0种] | #1 13[隐藏方案[0, 0, 1] 后续可做0种] | #2 13[隐藏方案[0, 1, 0] 后续可做0种] | #3 13[隐藏方案[1, 0, 0] 后续可做0种] | #4 7[隐藏方案[0, 1, 1] 后续可做0种] | #5 7[隐藏方案[0, 2, 0] 后续可做0种] | #6 7[隐藏方案[1, 0, 1] 后续可做0种] | #7 7[隐藏方案[1, 1, 0] 后续可做0种] | #8 7[隐藏方案[2, 0, 0] 后续可做0种]"
1001,2,Train,7,0,速训练,42,#0 493[速训练 失败率0% 属性+56 PT+20] | #1 225[耐训练 失败率0% 属性+24 PT+14] | #2 222[力训练 失败率0% 属性+25 PT+14] | #3 93[根训练 失败率0% 属性+24 PT+9] | #4 439[智训练 失败率0% 属性+28 PT+18] | #5 -154[休息] | #6 -185[普通外出]
1001,3,RamenSelect,3,2,吃面/东京-智,62,#0 0[不吃面] | #1 1679[吃面/函馆-耐] | #2 1680[吃面/东京-智]
1001,3,SpecialSelect,1,0,吃面/东京-智(替换Ax1+Cx1),3,仅1候选: 吃面/东京-智(替换Ax1+Cx1)
1001,3,Train,7,4,智训练,33,#0 315[速训练 失败率0% 属性+47 PT+16] | #1 377[耐训练 失败率0% 属性+32 PT+17] | #2 71[力训练 失败率0% 属性+18 PT+8] | #3 94[根训练 失败率0% 属性+25 PT+9] | #4 697[智训练 失败率0% 属性+52 PT+29] | #5 -154[休息] | #6 -185[普通外出]
1001,4,RamenSelect,1,0,不吃面,0,仅1候选: 不吃面
1001,4,Train,7,0,速训练,26,#0 347[速训练 失败率0% 属性+58 PT+17] | #1 298[耐训练 失败率0% 属性+34 PT+15] | #2 70[力训练 失败率0% 属性+18 PT+8] | #3 75[根训练 失败率0% 属性+23 PT+8] | #4 260[智训练 失败率0% 属性+20 PT+12] | #5 -154[休息] | #6 -185[普通外出]
1001,5,RamenSelect,1,0,不吃面,0,仅1候选: 不吃面
1001,5,Train,7,2,力训练,23,#0 72[速训练 失败率0% 属性+33 PT+7] | #1 160[耐训练 失败率0% 属性+25 PT+13] | #2 299[力训练 失败率0% 属性+40 PT+18] | #3 75[根训练 失败率0% 属性+23 PT+8] | #4 262[智训练 失败率0% 属性+22 PT+12] | #5 46[休息] | #6 15[普通外出]
1001,6,RamenSelect,1,0,不吃面,2,仅1候选: 不吃面
1001,6,Train,7,4,智训练,42,#0 72[速训练 失败率11% 属性+39 PT+8] | #1 245[耐训练 失败率9% 属性+31 PT+14] | #2 151[力训练 失败率11% 属性+34 PT+14] | #3 191[根训练 失败率11% 属性+32 PT+10] | #4 526[智训练 失败率0% 属性+46 PT+27] | #5 73[休息] | #6 15[普通外出]
1001,7,Event,2,0,事件#5003 马娘事件3:  力20  /  根20 ,4,
1001,7,RamenSelect,4,2,吃面/函馆-耐,120,#0 0[不吃面] | #1 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内] | #2 1772[吃面/函馆-耐] | #3 1772[吃面/东京-智]
1001,7,SpecialSelect,1,0,吃面/函馆-耐,0,仅1候选: 吃面/函馆-耐
1001,7,Train,7,1,耐训练,39,#0 108[速训练 失败率4% 属性+46 PT+9] | #1 682[耐训练 失败率2% 属性+60 PT+36] | #2 88[力训练 失败率3% 属性+28 PT+9] | #3 501[根训练 失败率5% 属性+52 PT+25] | #4 504[智训练 失败率0% 属性+60 PT+24] | #5 61[休息] | #6 15[普通外出]
1001,8,RamenSelect,1,0,不吃面,0,仅1候选: 不吃面
1001,8,Train,7,5,休息,6,#0 340282346638528859811704183484516925440[守门: 体力29<37休息]
1001,9,Event,2,1,事件#5004 马娘事件4:  根20  /  智20 ,3,
1001,9,RamenSelect,1,0,不吃面,0,仅1候选: 不吃面
1001,9,Train,7,3,根训练,27,#0 442[速训练 失败率0% 属性+81 PT+23] | #1 79[耐训练 失败率0% 属性+26 PT+8] | #2 74[力训练 失败率0% 属性+25 PT+8] | #3 586[根训练 失败率0% 属性+59 PT+31] | #4 332[智训练 失败率0% 属性+29 PT+15] | #5 46[休息] | #6 15[普通外出]
1001,10,RamenSelect,1,0,不吃面,0,仅1候选: 不吃面
1001,10,Train,7,3,根训练,45,#0 73[速训练 失败率10% 属性+39 PT+8] | #1 67[耐训练 失败率8% 属性+29 PT+8] | #2 60[力训练 失败率9% 属性+28 PT+8] | #3 475[根训练 失败率10% 属性+67 PT+32] | #4 317[智训练 失败率0% 属性+29 PT+15] | #5 71[休息] | #6 15[普通外出]
1001,10,Event,2,0,事件#102 追加训练:  根5  体力-5 羁绊+5 /   体力5,3,
1001,11,Event,2,1,事件#830305103 友人解锁:  智5 5pt 体力25 羁绊+5 干劲1 +休息心得(1回合) /  速5 智5 5pt 羁绊+5 干劲1 Hint+5 +休息心得(1回合),2,
1001,11,RamenSelect,2,0,不吃面,13,#0 0[不吃面：本回合基础决策不是训练] | #1 -inf[禁止吃面：本回合应先休息/外出/治病/比赛]
1001,11,Train,1,0,比赛,0,仅1候选: 比赛
1001,12,RamenSelect,2,1,吃面/东京-智,62,#0 0[不吃面] | #1 1938[吃面/东京-智]
1001,12,SpecialSelect,1,0,吃面/东京-智,0,仅1候选: 吃面/东京-智
1001,12,Train,8,4,智训练,58,#0 232[速训练 失败率16% 属性+70 PT+19] | #1 72[耐训练 失败率14% 属性+34 PT+9] | #2 68[力训练 失败率16% 属性+37 PT+9] | #3 344[根训练 失败率15% 属性+67 PT+25] | #4 1491[智训练 失败率0% 属性+139 PT+75] | #5 81[休息] | #6 15[普通外出] | #7 2548[友人外出#1 选项1 动态事件237 材料+2(库存0也不禁用) 饥饿+2028 未来+0 主动+213]
1001,12,Event,2,0,事件#102 追加训练:  智5  体力-5 羁绊+5 /   体力5,3,
1001,13,RamenSelect,1,0,不吃面,0,仅1候选: 不吃面
